"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","name"
"ENSG00000117519",4483.62709360346,-2.42271923981601,0.0600016218982992,-40.3775625252671,0,0,"CNN3","1266","calponin 3"
"ENSG00000183508",2053.88135557663,3.20195534795427,0.0724172014757454,44.215397484349,0,0,"TENT5C","54855","terminal nucleotidyltransferase 5C"
"ENSG00000159176",5692.46278267679,-2.31373756503587,0.057553366310631,-40.2016026751242,0,0,"CSRP1","1465","cysteine and glycine rich protein 1"
"ENSG00000150938",7442.98631416393,-2.05963137024162,0.0538449075112247,-38.2511822461996,0,0,"CRIM1","51232","cysteine rich transmembrane BMP regulator 1"
"ENSG00000116016",4423.94665216876,-1.8880193725334,0.0431679917758774,-43.7365579185558,0,0,"EPAS1","2034","endothelial PAS domain protein 1"
"ENSG00000136068",3796.1265394147,-1.64979200672636,0.0439354370533387,-37.550372031658,0,0,"FLNB","2317","filamin B"
"ENSG00000164251",2348.7701339719,3.3445083321361,0.0690717572655209,48.4207795565323,0,0,"F2RL1","2150","F2R like trypsin receptor 1"
"ENSG00000124766",2576.65254960143,2.39228794576996,0.061708615181297,38.7674871448911,0,0,"SOX4","6659","SRY-box transcription factor 4"
"ENSG00000124762",28106.1191885778,1.83225777686374,0.0388966414279813,47.1058093860429,0,0,"CDKN1A","1026","cyclin dependent kinase inhibitor 1A"
"ENSG00000106366",43719.1260988373,-1.84404649934341,0.0419164996609011,-43.9933323216753,0,0,"SERPINE1","5054","serpin family E member 1"
"ENSG00000188153",2944.12640623352,2.26608046261254,0.0552681287921851,41.0015774395634,0,0,"COL4A5","1287","collagen type IV alpha 5 chain"
"ENSG00000122861",28007.1433373973,2.26252546550257,0.0552183311595148,40.9741732137211,0,0,"PLAU","5328","plasminogen activator, urokinase"
"ENSG00000148773",1840.19727265675,-3.19605832567065,0.0757850351652842,-42.1726838115225,0,0,"MKI67","4288","marker of proliferation Ki-67"
"ENSG00000059804",3443.39680712992,2.07976295761976,0.0543254349135821,38.2834110933145,0,0,"SLC2A3","6515","solute carrier family 2 member 3"
"ENSG00000123416",4420.07398793879,-1.93841810360098,0.0505768630461103,-38.326182899753,0,0,"TUBA1B","10376","tubulin alpha 1b"
"ENSG00000139289",12942.9106281238,2.03736205042695,0.0462973434178476,44.006024968628,0,0,"PHLDA1","22822","pleckstrin homology like domain family A member 1"
"ENSG00000125257",6050.78726438958,1.95054949491349,0.0435953844406008,44.7421102013938,0,0,"ABCC4","10257","ATP binding cassette subfamily C member 4"
"ENSG00000211448",1884.75741158654,2.52372169452888,0.0653981298931794,38.590120216757,0,0,"DIO2","1734","iodothyronine deiodinase 2"
"ENSG00000128917",1307.34250385583,3.85825311457409,0.0865185432075104,44.594522417238,0,0,"DLL4","54567","delta like canonical Notch ligand 4"
"ENSG00000138623",2851.61916336974,-2.40668774845908,0.0581377318678258,-41.3963130507156,0,0,"SEMA7A","8482","semaphorin 7A (John Milton Hagen blood group)"
"ENSG00000131747",1743.84285765667,-2.92418912756521,0.0696221034544529,-42.0008730342114,0,0,"TOP2A","7153","DNA topoisomerase II alpha"
"ENSG00000167601",8245.06804500101,-2.14234576630771,0.0404435485638621,-52.9712609892491,0,0,"AXL","558","AXL receptor tyrosine kinase"
"ENSG00000198743",1999.10327890814,2.53453041313559,0.0670975518001015,37.7738135764852,0,0,"SLC5A3","6526","solute carrier family 5 member 3"
"ENSG00000074800",18390.4756149844,-1.33893117834408,0.0358590275896065,-37.3387475440679,3.86082291173685e-305,2.37344088499023e-302,"ENO1","2023","enolase 1"
"ENSG00000181104",14922.5173336984,1.66815955567935,0.0447581299294289,37.2705374042566,4.92673245711972e-304,2.90756042689378e-301,"F2R","2149","coagulation factor II thrombin receptor"
"ENSG00000115963",13232.3301349766,1.80533073536896,0.0488625142075255,36.9471519148908,8.09231108419457e-299,4.59207529754641e-296,"RND3","390","Rho family GTPase 3"
"ENSG00000104368",13214.4968037918,2.02763709005455,0.0550460855246574,36.835263956168,5.03520683588998e-297,2.75146080210077e-294,"PLAT","5327","plasminogen activator, tissue type"
"ENSG00000157680",1359.0634938634,2.54493702368437,0.069361389322583,36.6909753183934,1.01726618411109e-294,5.36026617156249e-292,"DGKI","9162","diacylglycerol kinase iota"
"ENSG00000074416",2392.80973934457,-2.14808670764645,0.0589063480898186,-36.4661327225907,3.81873143504702e-291,1.94281253767875e-288,"MGLL","11343","monoglyceride lipase"
"ENSG00000104081",804.838487338129,4.43413656938239,0.121636384406071,36.4540313413088,5.93856217997405e-291,2.92058488011124e-288,"BMF","90427","Bcl2 modifying factor"
"ENSG00000166073",2268.80918089117,-2.2066708419761,0.0608219606307423,-36.2808238848641,3.24649821955572e-288,1.54512370101049e-285,"GPR176","11245","G protein-coupled receptor 176"
"ENSG00000165434",1243.14971044106,2.51723600339355,0.0694013569941896,36.2707029432335,4.68797353191054e-288,2.1614487965565e-285,"PGM2L1","283209","phosphoglucomutase 2 like 1"
"ENSG00000091527",2814.15907315816,-1.81023338577257,0.0499749029758702,-36.2228494299752,2.65984835177606e-287,1.18919401763952e-284,"CDV3","55573","CDV3 homolog"
"ENSG00000033867",3157.52042924196,1.93501315031032,0.0535351847027511,36.1446992488079,4.50689778576074e-286,1.9557285273857e-283,"SLC4A7","9497","solute carrier family 4 member 7"
"ENSG00000117724",1324.17284690485,-2.82511200625218,0.0781715114729354,-36.1399178936216,5.35778353341663e-286,2.21470494991079e-283,"CENPF","1063","centromere protein F"
"ENSG00000101825",1024.97040543336,3.2876630415376,0.0909710037522485,36.1396808426041,5.40391610388969e-286,2.21470494991079e-283,"MXRA5","25878","matrix remodeling associated 5"
